Children,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Responses,Fixes,Replacements,Reliability,Options,Respectfulness,Courteous,Listening,DummyChurn,DummyTechie,DummyContract,DummyPort_modem,DummyTablet,DummyInternetService,DummyPhone,DummyMultiple,DummyOnlineSecurity,DummyOnlineBackup,DummyDeviceProtection,DummyTechSupport,DummyStreamingTV,DummyStreamingMovies
2,45634.2,9.47,14,1,0,7.917,184.963,3,4,3,3,4,4,4,3,0,0,1,1,0,0,1,1,0,1,1,0,1,0
3,10964.73,6.195,11,0,1,4.471,265.147,3,3,2,4,4,3,3,3,1,0,0,1,0,1,1,1,0,0,1,1,1,1
1,22365.28,10.804,19,1,0,10.79,207.609,4,4,3,6,2,5,7,4,1,0,0,0,0,1,1,0,0,0,0,0,1,1
0,52636.6,7.904,17,0,1,12.242,152.462,3,1,2,2,5,2,2,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0
1,19048.13,11.274,18,2,1,2.204,200.132,4,4,4,5,4,4,4,3,1,1,0,1,0,0,1,0,0,0,1,0,1,1
4,42784.82,6.13,12,0,0,23.921,212.656,5,5,6,5,3,7,5,5,1,0,0,1,1,0,1,0,1,1,0,1,1,1
0,77996.88,7.969,17,0,0,3.731,255.12,3,3,4,5,4,3,5,4,1,1,0,1,0,0,1,1,0,1,0,1,1,1
3,47507.3,4.368,9,0,0,7.98,134.951,2,3,3,3,5,2,2,3,0,0,1,1,0,1,1,0,0,1,0,0,0,0
3,7724.73,6.258,9,0,1,9.19,255.137,4,3,2,3,3,3,3,4,1,0,0,1,0,1,1,0,0,1,1,1,1,1
1,1509.52,12.923,16,0,0,2.379,214.966,4,4,4,5,2,3,4,4,1,0,0,0,0,1,1,1,0,1,1,0,0,1
2,81124.71,12.433,13,0,0,5.435,270.16,3,3,4,3,5,3,3,4,1,0,0,1,1,0,1,1,1,1,1,1,1,1
4,11795.57,7.608,11,0,0,1.092,200.165,1,1,2,2,3,1,3,2,1,0,1,0,0,0,0,0,0,0,1,1,1,1
1,74794.84,7.443,10,2,1,20.14,149.938,2,2,3,4,3,3,4,4,0,0,1,0,0,0,1,0,0,1,0,0,0,1
1,19038.78,13.044,18,1,0,24.649,240.115,4,4,5,1,4,4,3,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
0,79167.77,14.898,17,0,0,9.678,127.496,3,4,3,4,5,4,3,3,0,0,0,0,1,1,1,0,1,0,1,0,0,0
1,37428.26,13.794,13,2,1,9.828,187.609,3,4,3,2,5,3,3,4,1,0,0,1,0,0,1,0,0,0,0,0,1,1
0,45148.38,15.664,6,1,0,7.832,169.993,3,3,3,4,4,3,4,4,0,1,0,1,0,1,1,1,0,0,1,1,0,0
5,74855.47,8.513,13,3,0,19.453,192.457,4,4,4,3,1,5,4,4,0,0,1,1,0,1,1,1,0,0,0,1,0,1
4,45323.86,8.265,10,1,0,14.348,120.005,4,4,3,3,4,3,2,5,0,0,0,0,1,0,1,0,1,0,1,1,0,0
2,71596.14,8.603,11,0,0,2.257,195.006,5,3,5,5,3,3,5,2,0,0,0,1,0,1,1,1,1,1,1,1,0,0
0,10389.95,6.04,15,1,0,2.358,139.957,3,3,4,3,3,4,3,6,0,0,0,0,0,1,1,0,1,0,0,0,1,0
3,19657.14,14.604,12,3,0,4.651,114.984,3,3,2,2,5,4,2,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0
0,27827.03,7.274,13,1,1,3.722,207.639,4,3,3,6,1,4,3,3,1,0,0,1,0,0,1,1,0,0,0,0,1,1
4,15609.05,8.914,12,4,0,3.767,187.609,4,4,4,3,3,3,3,5,1,0,0,1,0,0,1,0,0,0,0,0,1,1
0,19815.63,11.593,13,0,2,4.151,134.951,3,2,3,4,3,4,5,4,0,0,0,1,1,1,1,0,0,1,0,0,0,0
0,58482.9,8.294,13,0,0,2.189,192.471,3,3,3,3,3,4,3,3,1,0,0,0,0,1,1,1,0,0,1,0,0,1
0,41656.53,15.197,9,1,0,13.855,222.628,3,2,3,2,4,3,2,4,1,0,0,1,1,0,0,0,0,1,1,0,1,1
0,115510.46,5.084,3,1,0,3.273,162.469,2,2,2,4,3,3,4,3,0,0,1,1,0,1,1,0,1,0,0,1,0,1
2,15841.19,6.943,7,1,1,19.751,159.979,2,2,3,3,3,3,3,3,1,0,1,1,0,0,1,1,0,1,1,0,0,0
0,81127.41,9.834,7,1,0,18.384,184.98,3,2,3,4,2,4,5,3,0,0,1,0,1,0,1,1,0,0,1,1,0,1
0,24270.88,11.06,13,0,0,4.673,245.146,5,5,4,5,1,5,5,4,1,0,0,0,0,1,1,0,1,1,1,0,1,1
0,54466.33,8.834,17,0,1,6.796,124.978,4,4,4,3,2,4,3,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0
10,64816.84,5.271,14,1,1,12.976,187.485,3,2,2,4,3,2,3,2,1,0,0,0,0,1,1,0,1,1,1,1,1,0
5,103311.26,9.395,15,1,0,20.312,162.501,5,4,4,3,4,4,5,5,0,0,0,0,0,1,1,0,1,1,1,1,0,0
0,40211.04,14.475,11,1,1,6.999,182.468,3,4,3,5,2,6,6,6,0,0,0,0,0,1,1,1,0,0,1,0,1,0
0,58077.38,10.683,12,1,1,14.463,222.661,3,2,3,5,3,4,4,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1
1,43466.35,13.794,10,1,0,11.135,182.468,3,4,4,4,3,4,2,3,0,0,0,0,0,1,1,1,0,0,1,0,1,0
0,23289.77,12.402,19,1,0,2.542,220.162,2,4,3,2,3,3,5,3,1,0,0,0,1,0,1,1,0,0,1,0,1,1
2,49158.49,10.248,9,1,0,17.226,169.938,4,4,3,4,3,3,3,4,0,0,1,0,0,1,1,0,0,1,0,0,0,1
0,3805.84,14.861,16,0,2,22.792,204.963,3,3,3,3,2,4,4,4,1,0,0,1,0,1,0,1,0,1,1,0,1,0
3,52616.27,6.717,10,2,1,3.824,204.963,3,5,3,2,4,2,4,2,1,0,0,0,0,1,1,1,0,1,1,0,1,0
3,30550.42,8.124,18,1,0,10.771,245.128,3,3,2,4,3,2,4,3,1,0,0,0,0,0,1,1,1,1,0,0,1,1
2,12154.01,14.609,11,0,2,13.087,172.473,4,4,3,3,5,3,2,2,1,0,0,0,1,0,1,1,0,1,0,1,1,0
0,30649.31,12.65,9,2,2,14.765,172.457,4,3,4,3,5,4,2,3,1,0,0,1,0,0,0,1,0,0,0,1,0,1
3,31417.33,12.028,14,0,0,9.473,194.977,2,2,2,2,4,2,3,2,1,0,0,0,0,1,1,1,0,0,1,1,1,0
1,55861.19,15.68,16,1,0,5.197,137.439,4,4,4,4,3,3,4,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,9044.26,11.304,18,3,1,6.578,192.471,3,4,4,4,2,3,4,4,1,0,1,1,1,1,1,1,0,0,1,0,0,1
0,25381.66,10.266,10,1,0,3.175,159.951,4,3,4,2,3,3,3,3,1,0,0,1,0,1,1,0,0,0,0,1,0,1
1,65064.31,7.566,9,0,0,17.88,112.455,3,3,3,3,3,3,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,12527.51,10.407,14,2,0,13.122,174.962,5,4,4,3,3,5,3,4,1,1,0,0,0,1,1,0,1,1,0,1,1,0
0,35499.06,7.146,13,3,0,23.346,162.453,6,5,4,4,4,3,5,3,0,1,0,0,0,1,1,0,1,1,0,0,1,0
6,26282.4,9.808,10,1,0,6.312,137.484,5,5,4,3,3,3,3,3,0,1,0,1,1,0,1,1,0,0,1,0,0,0
2,51237.28,10.612,12,3,0,12.583,275.134,4,5,4,4,1,4,4,4,0,0,1,0,1,1,1,1,0,1,1,0,1,1
3,64222.21,5.785,16,1,1,7.12,127.442,4,3,4,5,3,5,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1
0,11014.98,9.063,11,2,0,9.345,210.138,4,4,4,4,3,4,4,4,1,1,1,0,0,0,1,0,0,1,0,1,1,1
4,21172.49,16.544,13,1,0,22.378,147.456,5,4,5,2,3,4,4,3,0,1,1,0,0,0,1,1,0,1,0,0,0,0
3,26130.78,4.54,8,2,0,4.8,242.657,4,4,2,3,3,4,5,5,1,0,0,1,1,0,1,1,0,1,1,0,1,1
1,36478.21,7.251,14,2,0,10.047,114.984,2,2,3,4,3,3,4,4,0,1,0,0,1,0,1,0,0,1,0,1,0,0
3,54533.63,8.943,15,2,1,8.157,187.656,4,4,4,3,4,3,3,4,0,0,0,1,1,0,1,0,0,0,1,0,1,1
2,37103.18,12.579,9,3,1,7.993,149.991,2,2,3,5,5,1,2,2,0,0,1,1,0,0,1,1,0,0,1,0,1,0
2,74679.84,11.648,11,0,1,7.231,124.961,4,3,3,3,4,5,4,4,0,1,1,1,1,0,1,1,0,0,0,0,0,0
2,95028.57,6.076,13,0,0,4.628,220.162,3,3,3,3,4,3,3,3,1,0,0,1,1,0,1,1,0,0,1,0,1,1
0,34281.1,11.757,9,0,0,10.053,172.489,5,5,4,2,5,3,4,3,0,0,1,0,0,0,0,1,0,1,1,1,0,0
0,36240.81,9.174,14,0,1,4.171,120.005,4,4,5,3,3,4,4,5,0,0,1,1,1,0,1,0,1,0,1,1,0,0
5,9515.64,8.354,11,4,0,4.569,220.162,2,1,2,4,3,5,3,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1
0,125814.88,10.745,10,0,1,6.085,139.965,3,3,4,2,4,4,3,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1
8,12995.68,11.363,12,1,1,2.73,159.951,3,3,3,6,3,6,5,4,0,0,0,1,0,1,1,0,0,0,0,1,0,1
1,77531.43,2.311,14,1,0,8.575,184.95,2,3,2,4,4,2,1,3,1,0,0,1,0,0,1,1,0,1,0,1,1,0
3,87354.99,5.29,10,0,0,9.743,252.638,5,5,3,4,4,4,4,5,1,0,0,1,0,1,1,1,0,0,1,0,1,1
2,76567.85,5.258,8,1,0,9.483,112.455,4,5,4,4,4,4,5,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1,30663.52,7.158,12,0,0,8.448,179.979,4,3,4,4,5,2,3,3,0,0,1,0,0,1,1,1,0,1,1,0,0,0
3,122957.19,2.12,17,0,0,6.366,202.443,3,3,3,4,3,4,3,2,0,0,0,1,1,1,1,1,0,1,0,0,0,1
1,31600.92,4.979,12,2,0,7.251,197.473,4,6,6,1,7,3,4,3,0,0,0,0,0,0,1,1,0,1,1,1,1,0
4,74638.78,6.548,10,3,1,14.64,255.155,3,3,4,4,3,4,2,5,1,0,0,0,0,1,0,1,1,0,1,0,1,1
0,32652.3,7.411,9,0,1,11.716,174.977,5,4,5,4,4,4,4,4,1,1,0,0,1,0,1,1,0,0,1,1,1,0
4,63650.54,11.398,8,1,1,4.133,169.993,4,3,4,3,4,3,3,3,0,0,1,1,0,1,1,1,0,0,1,1,0,0
1,28622.6,11.299,14,1,0,2.887,192.44,4,5,3,4,4,2,4,2,1,0,0,0,0,1,1,1,0,1,0,0,1,0
3,50252.79,11.307,15,0,2,3.303,182.461,4,4,4,5,2,4,4,4,0,0,0,0,1,1,1,0,0,1,1,0,0,1
3,19800.81,10.316,11,2,1,5.158,139.965,5,5,5,4,2,3,4,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1
10,35954.77,13.716,14,1,0,3.238,137.462,4,4,3,3,2,3,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1
8,36342.31,15.409,15,2,0,2.733,217.473,5,4,4,4,3,5,5,3,1,0,0,0,0,1,1,1,0,1,1,1,1,0
1,48715.53,11.966,17,1,0,3.18,210.138,2,2,3,4,2,2,3,2,1,0,1,1,1,0,1,0,0,1,0,1,1,1
1,23204.98,10.18,10,2,0,15.86,104.964,5,4,5,2,4,5,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,35302.52,14.015,16,1,1,11.737,262.611,2,3,2,4,4,3,2,2,1,0,0,0,0,1,1,1,0,1,0,0,1,1
4,54895.16,14.628,17,2,0,7.006,152.488,6,5,5,3,6,4,4,4,1,0,0,1,1,0,1,0,1,1,0,1,0,1
2,60398.06,10.905,10,2,0,5.562,174.974,3,3,3,3,3,3,5,3,1,0,0,0,0,0,1,1,1,0,0,1,0,1
2,8115.88,8.894,8,0,1,14.53,220.119,2,3,3,5,3,4,4,4,0,0,0,0,0,1,1,0,0,0,0,1,1,1
1,33858.66,10.502,13,0,0,5.906,162.453,5,5,4,3,5,4,4,4,0,1,0,0,1,1,1,0,1,1,0,0,1,0
3,29950.47,12.343,12,2,1,3.26,184.961,3,4,3,3,4,4,4,4,1,0,0,1,1,0,1,1,1,1,0,0,0,1
4,49421.69,10.294,12,3,0,18.913,217.484,4,4,3,5,4,3,3,4,0,0,0,1,0,1,1,1,1,1,1,0,0,1
1,11061.05,8.513,11,2,1,14.256,220.119,3,4,4,4,2,5,3,4,0,0,1,1,0,1,1,0,0,0,0,1,1,1
0,15388.32,7.827,13,1,2,7.984,187.642,4,4,3,3,4,4,4,2,1,1,0,1,0,0,1,0,0,0,0,1,1,1
1,20624.31,6.986,9,2,1,5.97,174.962,4,5,4,4,3,3,3,5,0,1,1,0,1,1,1,0,1,1,0,1,1,0
0,47877.81,11.404,12,0,0,19.953,252.638,4,4,4,4,5,3,4,3,1,0,1,0,0,1,1,1,0,0,1,0,1,1
0,46154.17,10.442,13,1,0,14.858,130.024,3,4,4,1,3,4,4,4,0,0,0,1,0,0,1,0,1,1,1,1,0,0
0,107111.8,15.386,12,2,0,2.6,162.483,3,3,2,3,4,4,4,3,1,0,0,0,0,1,1,0,1,0,1,0,0,1
3,10403.59,10.68,13,2,1,11.923,182.468,4,3,4,3,4,3,4,3,1,0,0,1,0,1,1,1,0,0,1,0,1,0
3,22412.6,10.624,13,0,0,5.973,139.935,2,3,4,4,3,3,1,3,0,0,1,1,0,0,1,0,0,1,0,0,1,0
6,19476.27,10.916,13,1,0,10.876,200.165,2,2,3,2,5,4,4,3,1,1,1,0,0,0,1,0,0,0,1,1,1,1
3,96382.76,8.581,14,0,0,16.003,202.683,2,2,3,4,1,4,4,4,1,0,1,1,0,0,1,0,1,0,1,1,1,1
1,28022.56,8.997,11,0,1,12.631,159.951,4,5,5,2,3,5,4,5,0,0,1,1,0,1,1,0,0,0,0,1,0,1
1,35478.4,7.603,7,2,0,8.494,149.948,4,3,2,3,5,2,4,2,0,0,0,1,0,1,1,0,0,0,0,1,1,0
8,10155.51,9.218,12,1,1,8.044,149.96,5,6,4,4,3,5,5,4,1,0,0,1,0,1,1,0,1,0,0,0,0,1
3,87537.25,9.592,14,0,1,12.074,137.47,2,3,3,4,2,4,3,5,0,0,1,1,1,0,1,1,0,0,0,1,0,0
4,34112.1,13.36,12,0,0,10.216,187.656,4,2,3,4,4,3,4,4,1,0,0,1,0,0,1,0,0,0,1,0,1,1
0,32653.51,4.372,7,1,0,15.504,164.985,3,3,3,2,7,3,4,3,1,0,0,1,0,0,1,1,1,0,1,0,1,0
0,35321.46,10.593,11,0,3,13.88,159.965,2,3,3,5,4,3,2,3,1,0,0,1,0,1,1,0,0,0,1,0,0,1
0,49277.48,12.813,10,1,0,19.489,172.462,4,4,4,5,2,4,4,3,0,0,0,0,0,1,1,1,1,0,0,0,1,0
0,37297.82,3.767,11,0,0,10.018,204.95,2,2,4,4,4,5,4,4,1,0,1,0,0,1,1,1,0,1,0,1,1,0
2,14928.96,17.568,14,2,0,7.341,147.474,3,4,4,2,4,3,2,3,0,0,0,1,0,1,1,0,0,1,1,0,0,0
3,24702.68,11.237,11,3,2,12.647,162.471,4,4,3,4,4,4,5,4,1,1,0,0,0,1,1,0,0,0,1,1,1,0
1,87535.71,8.549,15,0,1,8.85,119.957,3,2,3,3,4,2,3,3,0,0,1,1,0,0,1,0,1,0,0,0,1,0
6,63166.87,6.094,11,2,0,3.702,207.609,3,4,4,3,4,4,3,4,1,0,0,0,0,1,1,0,0,0,0,0,1,1
4,11856.81,13.908,14,1,0,2.976,194.999,3,2,3,3,4,4,3,4,0,0,0,0,0,0,1,1,0,1,1,1,0,1
0,27326.79,7.905,14,1,0,5.522,174.976,3,4,2,3,4,4,4,4,0,0,1,1,0,1,1,0,1,1,1,0,1,0
1,12779.23,12.538,9,2,1,15.646,240.115,3,4,4,3,3,5,4,3,1,0,0,1,0,1,1,1,0,0,0,0,1,1
4,25519.91,12.822,12,1,1,23.008,240.115,4,3,3,4,3,4,4,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
7,46871.21,8.942,10,0,0,17.249,139.983,5,4,5,5,1,6,5,5,0,0,0,1,0,0,1,0,0,1,1,1,0,0
0,77383.72,10.51,12,0,0,13.011,240.115,3,4,4,2,4,2,5,2,1,0,0,1,0,1,1,1,0,0,0,0,1,1
1,47395.3,11.864,11,3,0,5.104,209.993,4,4,3,4,4,4,3,3,1,0,1,1,0,0,1,1,1,1,1,1,0,1
2,90977.74,10.761,10,3,0,3.521,147.456,4,4,2,2,4,3,3,4,0,0,1,1,1,0,1,1,0,1,0,0,0,0
8,135727.71,11.054,14,0,0,8.081,107.496,3,3,3,3,5,2,4,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,47726.25,8.174,8,5,0,1.875,152.502,1,3,2,3,4,3,3,3,1,0,0,0,1,0,1,0,1,1,1,0,0,1
1,51721.64,10.054,12,2,0,5.587,79.979,4,3,1,2,5,3,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,41531.03,7.046,13,2,0,7.008,142.483,5,4,3,4,4,4,3,4,0,0,1,1,1,0,1,0,1,0,1,0,0,1
0,33504.8,8.957,14,1,0,1.408,117.439,4,4,5,4,5,4,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,34197.3,15.74,14,2,1,11.65,220.132,5,6,4,4,2,3,5,4,1,0,0,1,1,1,1,0,0,0,1,0,1,1
4,11518.58,13.412,11,3,0,2.965,152.456,2,2,1,5,3,4,4,3,1,1,1,0,0,0,1,0,1,1,0,0,0,1
0,31065.17,14.898,9,2,1,10.256,174.962,4,3,4,4,3,3,5,4,0,0,0,0,0,1,1,0,1,1,0,1,1,0
0,32097.17,13.621,14,1,1,3.892,202.443,3,3,3,2,3,1,3,2,1,0,0,1,0,1,1,1,0,1,0,0,0,1
1,23424.88,14.959,12,2,1,3.227,210.127,4,4,4,2,4,4,4,3,1,0,1,1,0,1,1,0,1,0,0,0,1,1
