,Tenure,DummyStreamingMovies,DummyStreamingTV,DummyContract,DummyMultiple,DummyTechie,DummyInternetService,DummyDeviceProtection,DummyOnlineBackup,DummyPhone
4535,18.076,0,1,0,1,0,0,1,1,1
6004,70.566,1,0,0,1,0,0,1,0,1
231,18.172,1,0,1,0,0,1,0,0,1
6736,69.325,1,0,0,1,0,1,1,0,1
840,19.765,1,1,0,0,0,0,0,0,1
39,16.042,0,0,1,0,0,1,1,1,1
7088,49.263,0,0,1,1,0,0,0,1,1
3659,5.318,0,1,0,0,0,0,1,0,1
5142,63.477,0,0,0,1,0,0,1,0,1
5948,69.967,1,0,0,0,0,0,1,1,1
289,12.756,0,1,0,0,0,0,0,0,1
4417,21.522,0,1,1,0,0,1,0,1,1
726,8.459,0,0,1,1,0,1,1,0,1
3501,6.081,1,1,0,0,0,0,1,0,1
8572,61.456,1,0,0,1,0,0,0,0,1
46,22.257,1,0,0,0,0,1,0,1,1
6948,64.64,0,1,1,0,0,0,1,0,1
5013,66.895,0,1,0,0,0,1,1,1,1
5829,62.049,1,0,1,0,0,0,1,0,1
3818,26.91,1,1,0,1,0,0,0,0,1
4551,11.425,1,0,0,1,0,0,1,1,1
5779,56.326,1,1,0,1,0,0,0,0,1
7167,63.967,0,1,0,0,0,0,1,0,0
5638,71.932,0,0,0,0,1,0,1,1,1
8333,40.211,1,1,0,0,1,0,0,1,1
6141,65.49,0,0,0,1,0,0,0,1,1
9836,47.037,0,1,1,1,0,0,1,0,1
296,14.868,0,0,1,1,0,1,0,0,1
442,1.172,0,1,0,1,1,1,1,0,0
1322,2.85,0,1,0,1,0,1,1,0,0
3368,12.82,1,1,0,0,0,1,0,0,1
3186,1.454,0,1,0,0,0,0,0,1,1
5012,50.734,0,0,0,0,0,0,1,1,1
5821,62.325,1,0,0,0,1,1,1,0,1
8545,60.012,1,0,1,1,0,0,1,0,1
7024,66.785,1,1,0,1,0,0,1,1,1
7346,64.01,0,0,1,0,0,1,0,1,1
6409,60.95,0,1,0,0,0,0,0,1,1
9866,40.415,1,1,0,0,1,1,0,1,1
2929,21.532,0,1,0,1,0,1,1,1,1
3471,6.523,0,0,0,1,0,0,1,1,1
3112,12.556,0,0,0,1,1,1,0,1,1
2404,13.677,0,1,0,0,0,1,1,0,1
7435,43.636,0,0,0,0,0,0,1,0,1
90,2.189,1,0,0,1,0,1,1,0,1
2015,14.809,0,0,0,1,1,0,1,1,1
5874,64.606,1,1,0,1,0,0,0,1,1
2527,2.363,0,0,0,0,0,1,0,0,1
2917,21.063,0,0,0,0,0,1,1,0,1
4792,9.554,1,0,0,1,0,1,0,1,1
3701,4.434,0,1,1,1,0,0,1,0,1
1395,3.47,1,1,0,0,0,1,1,1,1
4977,6.629,1,1,0,1,0,1,1,1,1
9016,62.866,1,0,0,0,0,0,0,1,1
4235,13.336,1,0,0,1,0,1,0,0,0
6089,69.763,1,0,0,1,0,0,0,1,1
3013,9.539,1,1,1,1,0,0,1,1,1
8382,71.32,0,0,1,0,0,1,0,1,1
9508,55.87,1,1,1,0,0,0,1,0,1
2157,2.749,1,1,0,0,1,1,1,0,0
5815,47.965,0,0,0,0,1,0,1,1,1
4435,1.71,0,1,0,0,0,1,0,1,1
8201,56.781,0,0,1,0,0,1,0,1,1
3191,9.343,1,1,1,0,1,0,0,1,1
4072,11.371,0,0,1,0,0,1,1,1,1
5049,70.092,0,1,0,0,0,1,0,0,1
3338,8.302,1,1,0,0,0,1,0,1,1
1519,15.547,0,0,0,0,0,1,0,1,1
8272,55.156,0,1,1,0,0,0,1,1,1
2443,2.608,1,1,0,1,1,0,0,0,1
4558,2.941,0,1,0,0,0,1,0,0,1
3942,2.086,1,1,1,1,0,1,0,0,1
8439,64.763,1,1,1,0,0,1,1,1,1
6783,49.276,1,1,0,0,0,1,1,1,0
4980,2.146,1,0,1,0,0,0,0,1,1
2359,9.258,0,0,1,1,0,0,1,1,1
6348,46.082,0,1,1,1,0,0,1,0,1
2273,15.889,1,1,0,1,0,1,0,0,1
9072,71.892,0,0,0,0,1,1,1,0,1
1328,5.173,0,1,0,0,0,0,1,1,1
9145,70.16,0,0,0,0,0,0,0,0,1
686,9.586,1,0,1,0,0,0,0,1,1
2490,4.851,1,1,1,0,0,0,1,0,1
9444,36.057,1,1,0,0,0,1,1,0,1
7386,53.908,0,0,1,0,0,0,0,0,1
694,28.938,0,0,0,0,0,1,1,0,1
4907,20.527,0,1,0,1,0,0,1,0,1
7451,65.111,1,0,0,1,0,1,1,0,1
1317,9.223,0,0,0,0,1,0,0,0,0
4029,1.617,0,1,0,0,0,0,0,1,1
2657,6.706,0,0,0,1,1,1,0,0,1
7117,53.925,1,0,1,1,0,0,0,1,1
6424,64.53,1,1,0,0,0,0,0,0,1
8132,63.258,0,1,0,0,0,1,1,0,1
9855,62.913,1,0,0,0,1,1,1,0,1
9925,37.834,1,0,0,1,0,0,0,1,1
232,15.32,1,1,1,1,0,0,0,0,1
4678,5.43,1,1,1,1,1,1,1,0,1
9587,59.566,0,0,0,1,0,1,0,0,1
7556,61.883,1,0,1,1,0,0,0,1,1
9503,62.078,0,1,0,0,0,0,0,1,1
5896,56.282,1,0,0,0,0,0,0,1,1
2045,25.175,0,0,0,1,0,1,1,0,1
6283,68.229,0,0,0,1,0,1,0,0,1
2688,15.514,0,0,0,0,1,0,0,0,0
3571,9.987,0,1,0,0,0,0,1,0,1
6194,66.577,0,1,0,1,0,1,0,1,1
1029,6.34,0,1,1,0,0,0,0,0,1
3531,14.708,1,0,0,0,0,0,0,0,1
4284,10.155,1,0,1,0,0,0,1,1,1
6630,61.786,1,0,0,0,1,1,0,1,1
5911,66.311,0,0,0,1,1,0,0,1,1
3019,5.867,0,0,0,1,0,0,0,0,1
6102,63.401,1,0,0,1,0,0,1,0,0
5083,70.5,0,0,0,1,0,0,1,1,1
1504,16.243,0,0,1,1,0,1,1,0,1
3000,7.917,0,1,0,1,0,0,1,0,1
8578,66.823,0,0,0,1,0,0,0,1,1
4919,4.641,0,1,0,0,1,0,1,0,1
5281,59.513,1,0,0,1,0,1,1,1,1
5814,61.339,0,1,0,0,0,0,1,1,1
368,13.591,0,1,1,0,0,1,1,0,1
8258,58.156,1,1,1,1,0,0,0,1,1
810,8.295,1,0,0,0,1,1,1,1,1
8653,67.575,0,1,0,1,0,1,0,1,0
4964,6.306,0,1,0,1,0,0,0,0,1
7812,61.914,1,0,0,0,0,1,0,0,1
9117,46.126,0,1,0,0,0,1,1,0,1
8997,71.767,0,1,0,0,0,1,1,1,1
9370,69.251,0,0,1,1,1,0,0,0,1
487,2.641,0,0,0,1,0,1,0,1,0
2524,2.067,1,1,0,1,1,1,1,0,1
8037,69.229,1,1,0,0,0,0,0,1,1
6944,55.621,0,0,0,1,0,0,0,1,1
2954,25.113,0,0,0,1,0,0,1,0,1
6980,62.879,1,1,1,1,0,1,0,1,1
1716,10.163,1,0,1,1,0,1,0,1,1
5450,65.833,0,1,0,1,0,0,0,0,1
7615,57.636,0,1,0,0,1,1,1,0,0
7466,64.151,0,1,0,0,0,1,0,0,1
8550,52.692,0,0,0,0,0,1,0,0,1
9383,36.768,0,1,0,0,0,0,0,0,0
7166,60.36,1,1,1,0,1,0,0,0,1
9097,64.742,1,1,0,1,0,0,0,0,1
3731,19.912,0,1,1,0,0,1,1,0,1
5619,53.278,1,0,1,1,0,0,0,1,1
4096,11.36,1,0,0,0,0,1,1,0,1
7562,41.906,1,1,0,0,1,0,0,0,1
2984,15.394,1,1,0,0,0,1,0,0,1
9387,55.732,1,1,0,1,0,0,1,1,1
3943,13.411,1,1,0,0,0,0,1,1,1
8107,59.065,0,0,0,1,1,1,0,0,1
4057,12.354,0,0,0,0,0,0,0,1,1
1423,5.681,0,1,0,0,1,0,1,1,1
8618,48.711,1,0,0,0,0,1,1,1,1
9009,68.996,0,0,0,1,1,1,0,1,1
6505,67.431,0,1,1,0,0,1,0,1,1
6886,66.521,1,0,0,0,1,1,0,1,1
6619,52.414,1,1,1,1,1,1,0,1,0
957,16.662,1,1,1,0,0,1,1,0,1
3204,3.879,0,0,0,0,1,1,0,0,1
4549,5.628,1,0,0,0,0,1,0,1,0
8371,57.408,1,1,0,0,0,0,0,1,0
6796,57.255,0,0,1,1,0,0,0,1,0
48,7.76,0,1,1,0,0,0,0,0,1
1379,14.236,0,1,1,1,0,1,0,0,1
8051,65.845,0,1,0,0,0,0,1,1,1
1903,3.567,0,0,0,0,0,0,0,0,1
4599,2.886,0,1,0,0,0,1,0,1,1
9257,63.358,1,0,0,1,0,0,1,0,1
2441,6.582,0,1,0,1,1,0,0,0,1
4434,4.023,0,1,0,1,0,0,0,1,1
5321,67.783,1,0,0,1,0,0,1,1,1
766,6.587,1,0,0,1,0,1,0,1,1
2027,3.843,0,1,0,0,0,0,1,1,1
8926,53.628,1,1,0,1,0,0,1,0,1
5730,54.012,0,0,0,0,0,0,0,0,1
6479,55.5,0,0,1,1,0,1,1,1,0
5154,65.825,0,1,0,0,0,1,1,0,1
4463,6.404,1,1,0,0,0,0,1,1,1
9186,56.548,1,0,0,1,0,1,0,0,1
9822,53.9,0,1,0,1,0,0,0,1,1
4399,10.444,0,0,0,0,0,1,1,1,1
4875,2.255,0,1,0,0,0,1,0,1,1
6217,60.206,0,0,0,0,0,0,0,0,1
2722,4.449,0,1,0,1,0,0,1,1,1
7563,45.846,1,1,0,1,0,1,1,1,1
5240,69.554,0,0,1,0,0,0,0,0,1
9994,49.922,1,0,0,0,0,0,1,0,1
9235,53.801,0,0,1,1,0,1,0,0,1
6003,59.464,0,0,1,0,0,0,0,0,0
7580,68.783,1,0,0,1,0,1,0,0,0
6704,71.203,1,0,0,0,1,0,0,1,0
6733,63.178,0,0,0,0,0,1,0,1,1
9573,61.327,0,1,0,0,0,0,0,1,1
7480,56.082,0,1,1,0,0,1,0,1,0
758,3.248,0,1,0,1,0,0,0,0,1
6607,70.768,0,1,0,1,0,1,0,1,1
7834,59.141,1,1,0,1,0,0,1,0,1
3010,6.549,1,0,0,0,0,0,1,1,1
1616,21.047,1,0,0,1,0,1,0,1,1
9347,69.141,0,0,0,0,0,1,1,0,1
4936,9.06,1,0,1,0,0,0,1,0,1
3725,13.06,1,0,1,1,1,0,1,0,0
942,13.794,0,1,0,0,0,0,0,1,1
1213,4.006,0,0,1,1,0,1,0,0,1
7953,55.781,0,0,1,0,1,0,0,0,1
1944,7.018,0,1,1,0,0,1,1,0,1
2864,6.068,0,0,0,1,0,1,1,1,1
3911,13.04,1,1,0,1,0,1,0,0,1
8236,69.54,1,1,0,0,0,0,0,1,1
9109,56.191,0,1,0,1,1,0,0,0,1
9272,62.446,0,0,0,1,0,1,0,1,1
2754,10.448,1,0,1,1,0,0,0,0,1
6518,47.328,0,1,0,1,0,1,0,1,1
7652,59.845,0,1,0,0,0,0,0,1,1
6414,39.117,1,0,0,1,0,0,1,1,1
5884,57.189,0,0,0,0,1,1,1,1,1
6625,63.413,1,0,0,1,0,0,0,0,1
4981,9.836,0,0,1,0,1,0,0,0,1
6002,63.929,0,1,0,0,0,1,1,1,1
2255,1.704,1,0,0,0,0,0,0,0,1
4009,2.235,0,0,1,0,0,1,0,1,1
6519,52.831,1,0,0,0,0,0,1,0,1
4528,4.182,1,0,1,0,0,0,0,0,1
3004,3.256,1,1,0,0,0,1,1,1,1
8148,69.604,0,0,0,0,0,1,0,1,1
6555,70.957,0,1,1,1,0,0,0,0,1
8909,43.566,0,1,0,0,0,0,1,0,1
787,2.832,0,0,0,0,0,1,0,0,1
7048,64.439,0,1,0,0,0,0,0,0,1
6640,64.927,1,0,0,0,0,1,0,0,0
8253,58.062,0,1,0,0,0,0,0,1,1
7094,70.857,0,0,0,1,0,1,0,0,1
8754,56.154,0,0,0,0,1,1,0,0,1
3680,13.593,1,1,0,0,0,0,1,1,1
569,14.176,0,1,0,1,0,0,1,1,1
4643,20.918,0,0,0,1,1,0,0,0,1
2403,3.92,1,1,0,0,0,0,1,0,1
7989,68.045,0,0,0,0,0,1,0,1,1
7354,45.912,1,1,0,1,0,0,1,0,1
5913,71.113,0,0,0,0,1,0,0,0,1
8411,60.167,1,1,1,0,0,1,0,0,1
9962,56.404,1,0,0,1,0,1,1,0,1
7356,69.507,0,0,0,0,1,0,0,1,1
3692,7.283,1,0,0,0,0,0,0,0,1
5597,48.295,0,1,0,0,0,0,0,0,1
7882,57.896,1,0,1,0,0,1,0,1,1
4219,8.113,0,1,0,1,0,0,0,1,1
5300,68.531,0,0,0,1,0,0,0,0,1
1255,14.964,0,0,0,0,0,0,0,0,1
4512,2.597,0,0,0,0,0,0,1,1,1
5064,69.214,1,0,1,0,1,1,1,0,1
6513,54.262,0,0,1,0,1,0,0,1,1
4867,2.825,1,0,1,0,0,0,1,0,1
7420,71.255,0,1,0,1,0,0,1,1,1
5739,64.988,1,0,1,1,0,0,0,0,1
202,12.391,1,1,0,1,0,0,0,1,1
7890,64.126,1,1,0,0,0,0,1,0,1
1532,10.542,1,1,0,0,0,0,1,0,1
6969,65.363,0,0,0,0,0,0,1,1,1
2492,2.759,1,1,0,0,1,1,1,0,1
596,13.702,1,1,0,1,1,1,0,0,1
7872,70.545,1,0,0,0,0,0,0,1,1
2785,3.341,1,0,0,1,0,1,1,1,1
5307,56.477,1,0,0,0,0,0,1,1,1
3595,6.39,0,0,1,0,0,1,1,0,1
8350,44.573,0,0,0,0,0,0,0,0,1
1758,2.066,1,1,1,0,0,1,1,0,1
299,7.628,1,1,0,0,1,1,1,0,1
4589,6.206,0,1,1,0,0,1,1,1,1
800,8.064,1,1,0,1,0,0,0,0,1
3577,24.848,0,1,0,1,0,1,1,0,1
4837,6.914,1,0,0,1,1,0,1,1,1
3067,4.732,1,0,0,0,1,1,1,0,1
2858,14.404,0,0,0,1,0,0,1,0,0
1825,1.252,1,0,1,1,0,1,0,1,1
5211,69.163,1,0,0,0,0,0,0,1,1
9415,70.906,1,0,0,1,0,1,0,0,1
5334,52.421,0,1,1,1,0,1,1,0,1
571,20.019,0,1,0,0,0,1,0,0,1
2300,5.111,1,0,0,0,0,1,0,1,1
1543,1.993,0,0,0,1,0,0,0,0,1
4326,6.247,0,0,1,0,0,0,0,0,1
7511,55.065,1,0,1,0,0,1,0,0,1
906,3.105,1,1,0,0,0,1,1,0,1
8127,55.399,1,1,0,0,0,1,0,1,1
351,9.001,1,0,1,1,0,0,0,1,1
7025,69.708,0,1,0,0,0,0,1,0,1
3906,8.666,0,0,1,1,0,1,1,0,1
4188,6.784,1,0,0,1,1,1,0,0,1
6725,64.646,0,0,1,0,1,1,1,0,1
951,1.6,1,0,0,0,0,1,0,1,1
4901,2.697,1,1,0,0,0,1,0,1,0
5218,54.043,1,1,1,1,0,1,0,1,1
2304,12.694,0,1,0,1,1,1,1,0,1
1728,24.304,0,1,1,1,0,1,0,1,1
4190,6.185,1,0,0,1,0,0,1,1,1
6453,68.176,0,0,0,0,0,1,0,0,1
6456,71.609,0,1,0,0,0,0,0,0,1
8265,48.995,1,1,0,0,0,1,0,1,0
1857,3.857,1,1,1,0,1,1,1,0,0
7217,49.636,0,0,0,0,1,1,1,0,1
1749,8.785,1,1,0,0,0,0,0,0,1
62,7.96,1,0,0,0,0,0,0,1,1
16,15.782,1,0,0,1,0,0,1,1,1
4145,4.155,1,0,0,0,0,0,0,0,1
5645,71.308,0,1,0,0,0,0,0,0,1
7339,48.102,0,0,0,1,0,0,0,1,1
4357,23.55,0,0,0,0,0,1,0,0,1
2835,12.576,0,0,0,0,0,1,1,0,1
313,8.893,1,0,0,0,0,1,1,0,1
4937,12.276,0,0,0,0,0,0,0,1,1
7487,65.372,1,0,1,0,1,1,0,1,1
4896,11.121,0,0,0,1,0,1,1,1,1
963,1.154,0,1,1,1,0,1,0,1,1
9938,58.107,1,1,0,1,0,0,1,1,1
1653,2.162,1,1,1,0,0,0,0,1,1
2641,10.009,0,1,0,0,0,0,1,1,1
4982,2.637,0,0,1,0,0,1,0,1,1
7335,45.094,1,1,1,1,0,0,0,1,1
6352,64.323,0,0,0,1,0,1,0,1,1
2347,16.253,1,0,0,0,0,0,0,1,1
5213,65.283,0,0,1,0,0,1,0,0,1
9012,57.446,0,1,0,0,0,0,0,1,1
2982,2.09,1,1,0,1,0,0,0,1,1
7150,57.951,0,0,0,0,0,0,1,1,1
2150,5.099,1,1,0,0,0,0,0,1,0
1821,9.586,0,0,1,0,0,0,1,0,1
8902,39.834,0,1,0,1,0,0,0,0,1
1669,3.81,1,0,0,0,0,0,1,0,1
5438,68.659,0,1,0,1,0,0,0,1,1
8384,48.5,0,1,0,1,1,1,0,1,0
5323,66.619,0,0,1,0,0,1,1,1,1
4253,13.997,0,0,0,1,0,0,1,1,1
7163,66.678,1,1,1,1,0,1,0,1,1
6256,71.444,1,0,0,1,0,1,0,1,1
4553,3.072,0,0,0,0,0,0,0,1,1
6937,64.465,0,1,0,1,0,0,0,1,1
8954,69.306,0,0,0,0,0,1,1,1,1
3691,5.849,1,0,0,0,0,1,0,1,1
1138,9.344,1,0,0,0,0,0,1,1,1
5546,60.977,0,0,0,0,0,1,1,0,1
1683,15.348,1,1,0,1,0,1,1,1,1
4859,11.617,0,0,0,0,1,0,0,1,1
664,11.35,0,0,0,0,0,0,1,1,1
7594,63.528,1,1,0,0,0,1,0,0,1
6137,63.663,1,1,1,0,0,0,1,1,1
8612,64.682,1,0,0,0,0,1,0,1,1
3895,4.722,0,1,1,1,0,1,0,0,1
7971,51.357,1,1,1,0,0,1,0,1,1
1484,3.16,0,1,1,0,1,0,1,1,1
9195,55.271,1,0,0,0,0,0,1,0,1
7808,71.246,0,1,0,1,0,1,0,0,1
6826,68.479,0,1,0,0,0,0,1,1,1
6583,61.394,0,1,0,1,0,0,1,1,1
2676,2.238,0,1,1,0,0,0,0,1,1
407,13.466,0,1,1,0,0,1,0,1,1
4607,24.693,0,0,0,0,0,0,0,0,0
9405,60.543,1,0,0,0,0,0,0,1,1
8763,38.293,0,1,0,1,0,1,1,1,1
2784,3.475,0,1,0,0,1,1,1,1,1
1454,10.117,0,1,0,0,0,0,0,1,1
1004,9.189,0,1,0,0,0,0,1,0,1
9493,55.749,0,0,0,0,0,1,1,1,1
4968,5.533,0,1,0,0,0,1,1,1,1
7423,53.821,1,0,0,0,0,0,0,1,1
7774,57.335,0,0,0,1,0,0,1,1,1
8592,71.204,1,1,0,1,0,0,1,1,1
718,9.472,0,1,0,1,0,1,0,1,1
6018,52.07,0,0,1,0,0,0,0,0,1
9624,59.186,0,0,0,0,0,0,1,1,1
8936,57.396,0,0,0,1,0,0,0,1,1
558,8.875,0,1,0,0,1,1,0,1,1
7973,65.404,0,1,0,0,0,0,1,0,1
2702,9.437,1,0,0,0,0,1,0,0,0
1050,18.05,0,0,0,0,0,0,0,0,1
3224,15.146,0,1,1,0,0,0,0,0,1
7849,47.658,1,1,1,1,0,1,0,0,1
2663,4.469,1,0,0,1,0,0,1,0,1
5767,61.741,0,1,1,0,0,1,1,0,1
4638,13.16,0,0,1,0,0,0,0,1,1
8088,47.949,0,0,0,1,0,1,1,1,1
8501,49.221,0,1,1,1,0,0,0,0,1
6385,65.673,0,0,0,0,1,0,1,0,1
5473,51.559,0,0,0,1,0,0,0,0,1
2019,5.111,1,0,0,1,0,1,0,0,1
3291,7.603,0,1,1,1,0,1,0,1,1
2975,6.039,0,0,1,1,1,0,0,0,1
665,1.846,0,0,1,0,1,0,0,0,1
2253,3.375,0,1,0,0,0,0,0,1,1
2149,5.297,0,1,0,0,0,0,0,0,1
5191,63.059,1,1,1,0,0,1,1,1,1
2912,10.483,1,1,0,0,1,1,0,1,1
803,11.953,0,0,1,1,0,1,1,1,1
5511,62.114,0,1,0,0,1,1,1,1,0
4581,7.812,1,1,0,0,0,0,0,0,1
9860,61.783,1,0,0,0,0,1,1,0,0
7730,70.433,0,1,0,1,0,0,1,1,1
7916,55.292,1,0,0,0,0,0,0,1,1
9384,65.012,1,0,0,0,1,1,0,1,1
7927,66.862,0,0,0,1,0,0,1,1,1
6321,57.767,0,1,0,1,0,1,0,1,0
7516,38.349,1,1,0,0,1,0,1,0,1
8895,67.159,1,1,0,1,0,0,0,1,1
8543,70.564,0,0,0,1,0,0,1,0,1
8472,69.866,1,0,0,1,1,0,1,1,1
6955,43.845,0,1,1,0,0,0,1,1,1
557,1.411,1,0,0,0,0,1,0,1,1
2455,5.237,0,0,0,1,0,0,1,1,1
3920,3.231,0,1,0,1,0,0,0,1,1
6405,64.784,0,0,0,1,0,1,0,0,1
651,10.573,1,0,0,0,1,1,1,0,1
6560,52.364,1,0,1,1,0,0,0,1,1
8974,60.92,1,1,0,1,0,0,1,0,1
2348,17.403,0,1,0,0,1,0,0,1,1
5670,58.422,1,0,0,1,0,1,1,1,1
7454,54.804,0,1,0,1,0,0,1,0,1
3689,7.491,0,0,0,1,0,1,1,1,1
305,3.835,0,1,0,1,0,0,0,0,1
7671,48.386,0,0,1,1,0,0,0,1,1
5844,69.954,0,0,0,0,1,0,0,0,1
3858,5.799,1,1,0,0,0,0,1,0,1
8990,67.018,0,1,0,0,0,1,1,1,0
4736,6.723,1,1,0,0,0,0,1,1,1
2377,9.934,1,1,0,1,1,0,0,0,1
2764,1.201,0,0,0,0,1,1,1,1,1
2813,8.479,0,0,0,1,0,0,1,1,1
544,7.073,1,1,0,1,0,0,1,0,1
2025,4.773,1,1,1,1,0,0,1,0,1
9282,56.203,1,1,0,1,0,0,1,0,1
3614,1.365,0,1,1,1,0,0,0,0,0
1483,7.823,0,0,0,0,0,0,1,0,1
6742,65.664,0,1,0,1,0,0,1,1,1
8841,58.572,0,0,0,1,0,0,0,0,1
6475,66.603,0,0,0,0,0,1,0,1,1
9024,68.492,1,0,0,1,0,0,0,1,1
4695,16.644,0,0,0,0,0,1,0,0,1
8220,56.798,1,0,1,0,0,0,1,0,1
4165,4.619,0,1,0,1,0,0,1,0,1
6349,66.677,1,0,1,1,0,1,0,1,1
9950,71.521,0,1,1,1,0,1,0,1,1
1837,5.252,1,1,0,1,1,1,0,1,1
6616,68.742,1,1,0,0,1,0,0,0,1
3363,8.924,1,1,1,1,0,0,0,1,1
4903,20.166,0,0,1,1,0,1,1,0,1
6337,63.633,1,0,0,1,0,1,0,0,1
1573,5.784,0,0,1,0,0,1,0,0,1
7592,56.297,1,0,1,1,0,0,1,1,1
4702,11.739,1,1,0,0,0,0,1,1,1
4820,29.718,0,1,0,1,0,1,1,0,1
2351,2.763,0,1,1,1,0,0,1,1,1
1655,1.425,0,0,1,0,0,1,1,0,1
2903,7.467,0,1,0,1,1,1,1,1,1
1882,2.498,1,0,0,1,0,0,1,0,1
5014,71.667,1,0,0,0,0,0,0,1,1
1131,3.123,1,0,1,1,0,1,1,0,1
6717,42.156,1,0,0,0,0,1,0,0,1
1296,11.082,0,1,1,1,0,1,0,0,1
1649,5.046,1,1,0,1,0,0,0,0,1
7770,55.591,0,0,0,0,0,0,1,1,0
1637,6.956,0,0,0,0,0,0,0,1,1
4935,15.197,0,0,1,1,0,1,1,0,1
6435,66.126,0,0,1,0,0,0,0,1,1
8321,45.629,1,1,0,0,0,0,0,0,1
6157,60.166,1,0,0,0,0,1,0,0,1
3406,7.349,0,1,0,0,0,1,1,0,1
