Customer_id,Partner,Gender,Churn,Contract,InternetService,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Company,Dependents,SeniorCitizen
V899967,No,Female,No,Two year,None,Yes,Yes,No,Yes,No,Yes,No,No,No,eCheck,3,147.49,WGU,No,No
G571225,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,eCheck,4,230.11,WGU,Yes,Yes
S381541,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,eCheck,20,174.96,WGU,Yes,Yes
R195593,No,Male,Yes,One year,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Check,3,267.66,WGU,Yes,Yes
I327596,No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Check,5,162.48,WGU,Yes,No
U790894,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Autopay,3,229.99,WGU,Yes,No
O739489,No,Female,No,One year,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,eCheck,7,140.0,WGU,Yes,No
I958127,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Autopay,9,184.96,WGU,Yes,Yes
Z666770,No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,16,147.47,WGU,Yes,Yes
X711438,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Check,9,172.46,WGU,Yes,No
U369541,Yes,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,eCheck,3,107.48,WGU,Yes,Yes
S896111,No,Male,Yes,Two year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Autopay,3,255.14,WGU,Yes,No
K227200,No,Male,No,Two year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,eCheck,18,192.46,WGU,Yes,No
E818912,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Autopay,8,242.63,WGU,No,No
Y490834,No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,eCheck,10,245.17,WGU,Yes,No
B609739,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Autopay,22,184.96,WGU,Yes,No
E687638,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Autopay,9,195.01,WGU,Yes,No
E492264,No,Female,No,Two year,None,Yes,No,No,No,No,No,Yes,No,No,Autopay,7,104.96,WGU,Yes,Yes
W255321,Yes,Female,No,Month-to-month,None,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,11,92.49,WGU,Yes,Yes
S72442,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Autopay,3,184.98,WGU,Yes,Yes
O845020,No,Female,Yes,Month-to-month,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,7,187.66,WGU,Yes,Yes
D805597,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,eCheck,5,149.96,WGU,Yes,Yes
R189303,No,Female,Yes,One year,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Autopay,1,169.94,WGU,No,No
N142854,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Check,12,160.0,WGU,No,No
F522569,No,Female,No,One year,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Check,13,129.96,WGU,Yes,Yes
L384793,Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,eCheck,9,114.95,WGU,Yes,Yes
C101444,No,Female,No,Two year,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Check,6,142.52,WGU,Yes,No
E987442,No,Male,Yes,Two year,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Autopay,15,220.15,WGU,Yes,Yes
L54611,No,Female,No,Two year,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,eCheck,7,124.98,WGU,No,No
L85018,No,Female,No,One year,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Check,2,164.96,WGU,Yes,No
O942919,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,eCheck,2,194.98,WGU,Yes,No
I167253,No,Female,Yes,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Check,7,152.46,WGU,No,No
R110564,No,Male,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,No,No,Check,12,92.5,WGU,Yes,Yes
M278354,No,Female,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,Yes,Yes,eCheck,9,127.49,WGU,Yes,No
W604879,No,Male,No,Two year,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Autopay,7,184.96,WGU,Yes,Yes
X345797,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Autopay,4,265.15,WGU,Yes,Yes
N189653,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,10,207.61,WGU,Yes,Yes
M562102,No,Male,No,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,eCheck,12,152.46,WGU,No,No
X67911,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,2,200.13,WGU,Yes,Yes
O834546,Yes,Female,Yes,One year,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,eCheck,23,212.66,WGU,Yes,Yes
I493092,No,Male,Yes,One year,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Autopay,3,255.12,WGU,No,Yes
H787644,Yes,Female,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Autopay,7,134.95,WGU,Yes,No
N582710,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,9,255.14,WGU,Yes,No
T689606,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Autopay,2,214.97,WGU,Yes,Yes
E330599,Yes,Female,Yes,One year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,5,270.16,WGU,Yes,Yes
C641592,No,Female,Yes,Two year,None,No,No,No,No,Yes,Yes,Yes,Yes,Yes,eCheck,1,200.17,WGU,Yes,No
E24772,No,Male,No,Two year,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Autopay,20,149.94,WGU,Yes,No
A889769,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Check,24,240.11,WGU,Yes,No
G391761,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Autopay,9,127.5,WGU,No,No
A606860,Yes,Female,Yes,One year,DSL,Yes,No,No,No,No,No,Yes,Yes,No,eCheck,9,187.61,WGU,Yes,No
E186097,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,No,Autopay,7,169.99,WGU,No,No
I627613,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,No,Check,19,192.46,WGU,Yes,Yes
Z188641,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Autopay,14,120.0,WGU,Yes,Yes
A740543,No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Autopay,2,195.01,WGU,Yes,No
W681476,No,Male,No,One year,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No,Yes,Autopay,2,139.96,WGU,No,No
G842176,No,Male,No,Month-to-month,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Autopay,4,114.98,WGU,Yes,Yes
Z852663,No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,No,No,Yes,Yes,No,eCheck,3,207.64,WGU,No,Yes
C73741,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,eCheck,3,187.61,WGU,Yes,No
W258972,No,Female,No,One year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Autopay,4,134.95,WGU,No,Yes
G491883,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Check,2,192.47,WGU,No,Yes
C302549,No,Female,Yes,Month-to-month,DSL,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Check,13,222.63,WGU,No,Yes
K581313,No,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,eCheck,3,162.47,WGU,No,Yes
T46150,No,Male,Yes,Two year,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,eCheck,19,159.98,WGU,Yes,No
B260505,No,Male,No,Two year,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Check,18,184.98,WGU,No,Yes
W877056,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Autopay,4,245.15,WGU,No,No
M478246,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,eCheck,6,124.98,WGU,No,Yes
N417817,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Check,12,187.48,WGU,Yes,No
R180138,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Check,20,162.5,WGU,Yes,Yes
N931384,No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,eCheck,6,182.47,WGU,No,No
O967373,No,Male,Yes,Month-to-month,None,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Autopay,14,222.66,WGU,No,Yes
G695985,No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Autopay,11,182.47,WGU,Yes,No
P33478,No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,2,220.16,WGU,No,No
K100436,No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,eCheck,17,169.94,WGU,Yes,No
L475907,No,Male,Yes,Month-to-month,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Check,22,204.96,WGU,No,Yes
A78095,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,eCheck,3,204.96,WGU,Yes,Yes
X742990,No,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Autopay,10,245.13,WGU,Yes,No
P347346,No,Nonbinary,Yes,Month-to-month,None,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Autopay,13,172.47,WGU,Yes,Yes
O235183,Yes,Male,Yes,Month-to-month,DSL,No,Yes,No,No,No,Yes,No,Yes,No,Autopay,14,172.46,WGU,No,No
R776311,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,eCheck,9,194.98,WGU,Yes,No
C25146,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Autopay,5,137.44,WGU,Yes,No
E722502,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Autopay,6,192.47,WGU,Yes,No
D515341,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,Check,3,159.95,WGU,No,Yes
U972291,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Autopay,17,112.46,WGU,Yes,No
N374641,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Check,13,174.96,WGU,No,Yes
R736057,No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Autopay,23,162.45,WGU,No,Yes
K401117,Yes,Female,No,One year,DSL,Yes,Yes,No,No,Yes,No,No,No,Yes,Check,6,137.48,WGU,Yes,No
O17401,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,eCheck,12,275.13,WGU,Yes,Yes
E779833,Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,Yes,No,eCheck,7,127.44,WGU,Yes,Yes
Q527077,No,Male,Yes,Two year,None,Yes,No,No,Yes,No,Yes,Yes,Yes,No,eCheck,9,210.14,WGU,No,No
Q765651,No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Autopay,22,147.46,WGU,Yes,No
W400552,No,Male,Yes,One year,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Autopay,4,242.66,WGU,Yes,No
S979985,No,Male,No,Month-to-month,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Check,10,114.98,WGU,Yes,Yes
E351590,No,Female,No,Month-to-month,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,8,187.66,WGU,Yes,No
J227824,No,Female,No,Two year,None,Yes,Yes,No,No,Yes,No,Yes,No,No,Autopay,7,149.99,WGU,Yes,No
S136858,No,Male,No,Two year,DSL,Yes,Yes,No,No,No,No,No,No,No,Autopay,7,124.96,WGU,Yes,No
N883325,No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,4,220.16,WGU,Yes,Yes
U700981,No,Male,No,Two year,DSL,No,Yes,No,Yes,Yes,Yes,No,No,No,Autopay,10,172.49,WGU,No,Yes
X267853,No,Male,No,Two year,DSL,Yes,No,Yes,No,Yes,Yes,No,No,No,eCheck,4,120.0,WGU,No,No
S985225,No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,4,220.16,WGU,Yes,No
X645702,No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,Yes,Yes,Check,6,139.97,WGU,No,No
I703479,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,Yes,Check,2,159.95,WGU,Yes,Yes
S370452,No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Autopay,8,184.95,WGU,Yes,Yes
D333249,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,9,252.64,WGU,Yes,No
O698848,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Autopay,9,112.46,WGU,Yes,Yes
M248356,Yes,Male,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,eCheck,8,179.98,WGU,Yes,No
E759213,Yes,Male,No,One year,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Autopay,6,202.44,WGU,Yes,Yes
G106476,No,Male,No,One year,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Autopay,7,197.47,WGU,Yes,Yes
D873414,No,Female,Yes,One year,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Check,14,255.16,WGU,Yes,Yes
X906302,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,No,eCheck,11,174.98,WGU,No,No
Z245249,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,Yes,eCheck,4,169.99,WGU,Yes,No
T30358,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Autopay,2,192.44,WGU,Yes,Yes
K974027,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,No,Autopay,3,182.46,WGU,Yes,Yes
R464272,No,Male,No,One year,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Autopay,5,139.97,WGU,Yes,No
Q541158,Yes,Male,Yes,Month-to-month,None,Yes,No,No,Yes,No,No,No,Yes,Yes,eCheck,3,137.46,WGU,Yes,Yes
O707075,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Autopay,2,217.47,WGU,Yes,Yes
L229402,No,Nonbinary,Yes,Two year,None,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Check,3,210.14,WGU,Yes,Yes
Y259927,No,Male,No,Two year,DSL,No,No,No,No,No,Yes,No,No,Yes,eCheck,15,104.96,WGU,Yes,No
G820541,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Autopay,11,262.61,WGU,Yes,No
F672614,Yes,Female,Yes,Month-to-month,None,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Autopay,7,152.49,WGU,Yes,No
L686627,No,Female,Yes,One year,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Autopay,5,174.97,WGU,Yes,No
T660448,No,Female,No,One year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Autopay,14,220.12,WGU,Yes,Yes
G864898,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Check,5,162.45,WGU,Yes,No
V847401,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Check,3,184.96,WGU,Yes,No
X852253,No,Male,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,eCheck,18,217.48,WGU,Yes,Yes
M482085,Yes,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,No,Check,14,220.12,WGU,Yes,No
L535753,No,Female,Yes,One year,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Autopay,7,187.64,WGU,No,Yes
K265986,No,Male,No,Two year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,eCheck,5,174.96,WGU,Yes,No
C695447,Yes,Male,Yes,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,19,252.64,WGU,No,Yes
T484755,No,Male,No,One year,None,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Autopay,14,130.02,WGU,No,Yes
X999392,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,No,Autopay,2,162.48,WGU,No,No
N995093,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Autopay,11,182.47,WGU,Yes,Yes
D478815,Yes,Female,No,Two year,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,Check,5,139.93,WGU,Yes,Yes
I338069,No,Female,Yes,Two year,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Check,10,200.17,WGU,Yes,No
T278739,Yes,Male,Yes,Two year,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,16,202.68,WGU,Yes,No
R857699,No,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,eCheck,12,159.95,WGU,Yes,No
Q386914,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Check,8,149.95,WGU,Yes,Yes
T132275,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Yes,eCheck,8,149.96,WGU,Yes,Yes
T392167,No,Male,No,Two year,DSL,Yes,Yes,No,No,No,Yes,No,No,No,eCheck,12,137.47,WGU,Yes,Yes
J315269,No,Male,Yes,One year,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,10,187.66,WGU,Yes,Yes
B124449,Yes,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Check,15,164.99,WGU,No,No
P954849,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Autopay,13,159.97,WGU,No,No
K20948,No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,eCheck,19,172.46,WGU,No,No
M893176,No,Female,Yes,Two year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,No,No,eCheck,10,204.95,WGU,No,No
P765785,No,Male,No,One year,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,7,147.47,WGU,Yes,No
X780945,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,No,eCheck,12,162.47,WGU,Yes,Yes
H776847,No,Male,No,Two year,DSL,Yes,No,Yes,No,No,No,Yes,No,No,Check,8,119.96,WGU,Yes,Yes
A471876,No,Female,Yes,One year,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,3,207.61,WGU,Yes,No
B424659,No,Female,No,One year,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Check,2,195.0,WGU,Yes,No
F111037,No,Nonbinary,No,Two year,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Autopay,5,174.98,WGU,No,Yes
S690107,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,Check,15,240.11,WGU,Yes,Yes
Q991854,No,Nonbinary,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,23,240.11,WGU,Yes,Yes
U560834,No,Male,No,One year,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Check,17,139.98,WGU,Yes,No
P452772,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,13,240.11,WGU,No,No
B949126,No,Female,Yes,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Autopay,5,209.99,WGU,Yes,No
F697244,No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,No,No,No,No,Check,3,147.46,WGU,Yes,Yes
F501848,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,No,No,No,Yes,Check,8,107.5,WGU,Yes,Yes
Q971369,No,Female,Yes,Month-to-month,None,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Autopay,1,152.5,WGU,Yes,No
W186069,No,Female,No,One year,None,Yes,No,No,No,No,No,No,No,No,Autopay,5,79.98,WGU,Yes,Yes
Y292243,Yes,Female,No,Two year,DSL,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Check,7,142.48,WGU,No,Yes
F333860,No,Female,No,One year,DSL,Yes,No,No,No,No,No,Yes,No,Yes,Autopay,1,117.44,WGU,No,No
